valid_time,t2m,latitude,longitude,tp,hour,day,dayofweek,month,year,is_weekend,t2m_lag_1,t2m_lag_24,tp_lag_1,tp_lag_24,t2m_rollmean_3,t2m_rollmean_24
2020-01-02 00:00:00,28.298093,34.900000000001064,10.799999999999985,-5.9590093000000005e-05,0,2,3,1,2020,0,28.317493,28.243674,0.008553252,0.0,28.320391,28.39972491666667
2020-01-02 01:00:00,28.276166,34.900000000001064,10.799999999999985,0.0,1,2,3,1,2020,0,28.298093,28.215353,-5.9590093000000005e-05,0.0,28.297250666666667,28.402258791666668
2020-01-02 02:00:00,28.26054,34.900000000001064,10.799999999999985,0.0,2,2,3,1,2020,0,28.276166,28.201242,0.0,0.0,28.278266333333335,28.40472954166667
2020-01-02 03:00:00,28.242862,34.900000000001064,10.799999999999985,0.0,3,2,3,1,2020,0,28.26054,28.185904,0.0,0.0,28.259856,28.407102791666663
2020-01-02 04:00:00,28.23301,34.900000000001064,10.799999999999985,0.0,4,2,3,1,2020,0,28.242862,28.18573,0.0,0.0,28.245470666666666,28.409072791666663
2020-01-02 05:00:00,28.21688,34.900000000001064,10.799999999999985,0.0,5,2,3,1,2020,0,28.23301,28.182086,0.0,0.0,28.230917333333334,28.410522541666666
2020-01-02 06:00:00,28.211877,34.900000000001064,10.799999999999985,0.0,6,2,3,1,2020,0,28.21688,28.162262,0.0,0.0,28.220589,28.41258983333333
2020-01-02 07:00:00,28.232416,34.900000000001064,10.799999999999985,0.017613172,7,2,3,1,2020,0,28.211877,28.173242,0.0,0.0,28.220391000000003,28.415055416666664
2020-01-02 08:00:00,28.320575,34.900000000001064,10.799999999999985,0.0,8,2,3,1,2020,0,28.232416,28.250034,0.017613172,0.0,28.254956000000004,28.417994625000002
2020-01-02 09:00:00,28.470306,34.900000000001064,10.799999999999985,0.0,9,2,3,1,2020,0,28.320575,28.373285,0.0,0.0,28.341099,28.422037166666666
2020-01-02 10:00:00,28.61208,34.900000000001064,10.799999999999985,0.0,10,2,3,1,2020,0,28.470306,28.516803,0.0,0.0,28.467653666666667,28.426007041666665
2020-01-02 11:00:00,28.727158,34.900000000001064,10.799999999999985,0.0,11,2,3,1,2020,0,28.61208,28.60295,0.0,0.0,28.60318133333333,28.431182375000002
2020-01-02 12:00:00,28.80221,34.900000000001064,10.799999999999985,0.0,12,2,3,1,2020,0,28.727158,28.661743,0.0,0.0,28.713815999999998,28.43703516666667
