valid_time,t2m,latitude,longitude,tp
2020-01-01 00:00:00,282.43674,34.900000000001064,10.799999999999985,0.0
2020-01-01 01:00:00,282.15353,34.900000000001064,10.799999999999985,0.0
2020-01-01 02:00:00,282.01242,34.900000000001064,10.799999999999985,0.0
2020-01-01 03:00:00,281.85904,34.900000000001064,10.799999999999985,0.0
2020-01-01 04:00:00,281.8573,34.900000000001064,10.799999999999985,0.0
2020-01-01 05:00:00,281.82086,34.900000000001064,10.799999999999985,0.0
2020-01-01 06:00:00,281.62262,34.900000000001064,10.799999999999985,0.0
2020-01-01 07:00:00,281.73242,34.900000000001064,10.799999999999985,0.0
2020-01-01 08:00:00,282.50034,34.900000000001064,10.799999999999985,0.0
2020-01-01 09:00:00,283.73285,34.900000000001064,10.799999999999985,0.0
2020-01-01 10:00:00,285.16803,34.900000000001064,10.799999999999985,0.0
2020-01-01 11:00:00,286.0295,34.900000000001064,10.799999999999985,0.0
2020-01-01 12:00:00,286.61743,34.900000000001064,10.799999999999985,0.0
2020-01-01 13:00:00,286.85504,34.900000000001064,10.799999999999985,0.0
2020-01-01 14:00:00,286.85046,34.900000000001064,10.799999999999985,0.0
2020-01-01 15:00:00,286.54266,34.900000000001064,10.799999999999985,6.4477324e-05
2020-01-01 16:00:00,286.10123,34.900000000001064,10.799999999999985,0.0
2020-01-01 17:00:00,285.4624,34.900000000001064,10.799999999999985,0.0
2020-01-01 18:00:00,284.8548,34.900000000001064,10.799999999999985,4.3511682e-07
2020-01-01 19:00:00,284.53583,34.900000000001064,10.799999999999985,0.0
2020-01-01 20:00:00,284.22156,34.900000000001064,10.799999999999985,8.5234205e-07
2020-01-01 21:00:00,283.79193,34.900000000001064,10.799999999999985,2.9831426e-09
2020-01-01 22:00:00,283.45587,34.900000000001064,10.799999999999985,0.0
2020-01-01 23:00:00,283.17493,34.900000000001064,10.799999999999985,8.553252e-07
2020-01-02 00:00:00,282.98093,34.900000000001064,10.799999999999985,-5.9590093e-09
2020-01-02 01:00:00,282.76166,34.900000000001064,10.799999999999985,0.0
2020-01-02 02:00:00,282.6054,34.900000000001064,10.799999999999985,0.0
2020-01-02 03:00:00,282.42862,34.900000000001064,10.799999999999985,0.0
2020-01-02 04:00:00,282.3301,34.900000000001064,10.799999999999985,0.0
2020-01-02 05:00:00,282.1688,34.900000000001064,10.799999999999985,0.0
2020-01-02 06:00:00,282.11877,34.900000000001064,10.799999999999985,0.0
2020-01-02 07:00:00,282.32416,34.900000000001064,10.799999999999985,1.7613172e-06
2020-01-02 08:00:00,283.20575,34.900000000001064,10.799999999999985,0.0
2020-01-02 09:00:00,284.70306,34.900000000001064,10.799999999999985,0.0
2020-01-02 10:00:00,286.1208,34.900000000001064,10.799999999999985,0.0
2020-01-02 11:00:00,287.27158,34.900000000001064,10.799999999999985,0.0
2020-01-02 12:00:00,288.0221,34.900000000001064,10.799999999999985,0.0
2020-01-02 13:00:00,288.5088,34.900000000001064,10.799999999999985,0.0
2020-01-02 14:00:00,288.74243,34.900000000001064,10.799999999999985,0.0
2020-01-02 15:00:00,288.59064,34.900000000001064,10.799999999999985,0.0
2020-01-02 16:00:00,287.68903,34.900000000001064,10.799999999999985,0.0
2020-01-02 17:00:00,286.13986,34.900000000001064,10.799999999999985,-1.4901161e-08
2020-01-02 18:00:00,284.56503,34.900000000001064,10.799999999999985,0.0
2020-01-02 19:00:00,284.108,34.900000000001064,10.799999999999985,0.0
2020-01-02 20:00:00,283.51434,34.900000000001064,10.799999999999985,0.0
2020-01-02 21:00:00,282.51877,34.900000000001064,10.799999999999985,0.0
2020-01-02 22:00:00,281.5699,34.900000000001064,10.799999999999985,0.0
2020-01-02 23:00:00,281.24213,34.900000000001064,10.799999999999985,0.0
2020-01-03 00:00:00,280.95624,34.900000000001064,10.799999999999985,0.0
2020-01-03 01:00:00,280.72247,34.900000000001064,10.799999999999985,0.0
2020-01-03 02:00:00,280.53674,34.900000000001064,10.799999999999985,0.0
2020-01-03 03:00:00,280.2995,34.900000000001064,10.799999999999985,0.0
