valid_time,t2m_forecast
2025-06-29 00:00:00,29.92596378951502
2025-06-29 01:00:00,29.849126400223614
2025-06-29 02:00:00,29.75874345751405
2025-06-29 03:00:00,29.661004516417925
2025-06-29 04:00:00,29.570027640033604
2025-06-29 05:00:00,29.51276747366697
2025-06-29 06:00:00,29.52540844548953
2025-06-29 07:00:00,29.62517137189603
2025-06-29 08:00:00,29.785221418941383
2025-06-29 09:00:00,29.958342431351902
2025-06-29 10:00:00,30.116594958681347
2025-06-29 11:00:00,30.254138400852682
2025-06-29 12:00:00,30.369598827781203
2025-06-29 13:00:00,30.457038299936418
2025-06-29 14:00:00,30.508192744293574
2025-06-29 15:00:00,30.517737133861665
2025-06-29 16:00:00,30.48641665105951
2025-06-29 17:00:00,30.421415087274077
2025-06-29 18:00:00,30.332299420415524
2025-06-29 19:00:00,30.229831947567703
2025-06-29 20:00:00,30.124144122323038
2025-06-29 21:00:00,30.023865622830513
2025-06-29 22:00:00,29.934631658262973
2025-06-29 23:00:00,29.85804623377693
2025-06-30 00:00:00,29.791716848068955
2025-06-30 01:00:00,29.730341528229122
2025-06-30 02:00:00,29.66737768905491
2025-06-30 03:00:00,29.59703258515275
2025-06-30 04:00:00,29.517185008193557
2025-06-30 05:00:00,29.43458677663088
2025-06-30 06:00:00,29.37190447668928
2025-06-30 07:00:00,29.366902905441943
2025-06-30 08:00:00,29.446164233420077
2025-06-30 09:00:00,29.592666398352208
2025-06-30 10:00:00,29.760927307740214
2025-06-30 11:00:00,29.91770949700952
2025-06-30 12:00:00,30.052379795217277
2025-06-30 13:00:00,30.163082232401614
2025-06-30 14:00:00,30.24611371767998
2025-06-30 15:00:00,30.2955209421345
2025-06-30 16:00:00,30.307068242322686
2025-06-30 17:00:00,30.281022486698273
2025-06-30 18:00:00,30.22253800890446
2025-06-30 19:00:00,30.140445220604303
2025-06-30 20:00:00,30.045380902217985
2025-06-30 21:00:00,29.94778529230273
2025-06-30 22:00:00,29.856089664188506
2025-06-30 23:00:00,29.775403640573387
2025-07-01 00:00:00,29.706979127920988
2025-07-01 01:00:00,29.6485331900304
2025-07-01 02:00:00,29.59524880473769
2025-07-01 03:00:00,29.541139246350888
2025-07-01 04:00:00,29.48067677497411
2025-07-01 05:00:00,29.411255347967032
2025-07-01 06:00:00,29.337815408331696
2025-07-01 07:00:00,29.279868509792212
2025-07-01 08:00:00,29.272770414383416
2025-07-01 09:00:00,29.344523214448635
2025-07-01 10:00:00,29.48193450317538
2025-07-01 11:00:00,29.641970461615625
2025-07-01 12:00:00,29.791435075966838
2025-07-01 13:00:00,29.91820085166693
2025-07-01 14:00:00,30.019240834443693
2025-07-01 15:00:00,30.091383108757498
2025-07-01 16:00:00,30.13061882606459
2025-07-01 17:00:00,30.134920624446753
2025-07-01 18:00:00,30.10611047491801
2025-07-01 19:00:00,30.049811477436904
2025-07-01 20:00:00,29.974238802431945
2025-07-01 21:00:00,29.888629684592964
2025-07-01 22:00:00,29.80169647074354
2025-07-01 23:00:00,29.72027807253242
2025-07-02 00:00:00,29.64838322206861
2025-07-02 01:00:00,29.586828942013504
2025-07-02 02:00:00,29.533536988461854
2025-07-02 03:00:00,29.484353318732982
2025-07-02 04:00:00,29.43418333021194
2025-07-02 05:00:00,29.378443103110197
2025-07-02 06:00:00,29.315394150131585
2025-07-02 07:00:00,29.250548725349848
2025-07-02 08:00:00,29.203094461006405
2025-07-02 09:00:00,29.205956194364195
2025-07-02 10:00:00,29.282386993498328
2025-07-02 11:00:00,29.41657921061051
2025-07-02 12:00:00,29.568362157327535
2025-07-02 13:00:00,29.70831696323228
2025-07-02 14:00:00,29.825236317615154
2025-07-02 15:00:00,29.91568423091686
2025-07-02 16:00:00,29.976937760005118
2025-07-02 17:00:00,30.00649053038812
2025-07-02 18:00:00,30.003920582521204
2025-07-02 19:00:00,29.971986022832038
2025-07-02 20:00:00,29.916390756997707
2025-07-02 21:00:00,29.844761261335854
2025-07-02 22:00:00,29.76535275983
2025-07-02 23:00:00,29.685748880808713
2025-07-03 00:00:00,29.611725370191635
2025-07-03 01:00:00,29.54647393742639
2025-07-03 02:00:00,29.490364728592578
2025-07-03 03:00:00,29.441269782145444
2025-07-03 04:00:00,29.395316827506427
2025-07-03 05:00:00,29.34792695158136
